STDB_ID	STDB_GLOSS	BURMISH_GLOSS	CONCEPTICON_ID	TBL_ID
1	above	above	1741	0731
2	all	all	98	0962
3	the ant	the ant	587	0365
4	the armpit	the armpit	1886	0092
5	bad	bad	1292	1053
6	the bamboo	the bamboo	1927	0389
7	the barley (tibetan or highland)	the barley (tibetan or highland)	932	0411
8	to be alive	to be alive	1422	1087
9	the belly	the belly	1251	0096
10	below, under	below, under	1485	0732
11	big	big	1202	0964
12	the bird	the bird	937	0326
13	to bite	to bite	1403	1753
14	black	black	163	1005
15	the blood	the blood	946	0129
16	to blow (of wind)	to blow (of wind)	175	1738
17	the body hair (hair or fur)	the body hair (hair or fur)	189	0266
18	the bone	the bone	1394	0133
19	the branch	the branch	1531	0374
20	the breast (female)	the breast (female)	1402	0094
21	to burn [intransitive]	to burn [intransitive]	1428	1269
22	to buy	to buy	1869	1516
23	to chew	to chew	321	1424
24	the child (young human)	the child (young human)	1304	0169
25	the cloud	the cloud	1489	0007
26	cold (of temperature)	cold (of temperature)	1287	1063
27	to come	to come	1446	1491
28	correct (right)	correct (right)	1725	1045
29	to count	to count	1420	1640
30	to cry (weep)	to cry (weep)	1839	1485
31	dark	dark	706	1013
32	the daughter	the daughter	1357	0222
33	the dew	the dew	1977	0015
34	to die	to die	1494	1651
35	to dig	to dig	1418	1698
36	dirty	dirty	1230	1086
37	the dog	the dog	2009	0289
38	the dream	the dream	2374	0699
39	to drink	to drink	1401	1370
40	dry	dry	1398	1028
41	the dust	the dust	2	0045
42	the ear	the ear	1247	0081
43	early	early	672	1018
44	the earth (soil)	the earth (soil)	1228	0040
45	the earthworm	the earthworm	2350	0363
46	to eat	to eat	1336	1198
47	the egg	the egg	744	0450
48	eight	eight	1705	0804
49	the eye	the eye	1248	0079
50	far	far	1406	0974
51	the father	the father	1217	0218
52	the feather	the feather	1201	0299
53	to fight	to fight	1423	1234
54	the fire	the fire	221	0018
55	firewood	firewood	10	0534
56	the fish	the fish	227	0351
57	five	small	493	0801
58	the flea	the flea	232	0355
59	to float	to float	1574	1553
60	to flow	to flow	2003	1502
61	the flower	the flower	239	0377
62	to fly (move through air)	to fly (move through air)	1441	1318
63	the fog	the fog	249	0016
64	the foot	the foot	1301	0103
65	the forest	the forest	420	0050
66	to forget	forget	1523	1704
67	four	four	1500	0800
68	the fox	the fox	1312	0325
69	the frog	the frog	503	0349
70	the front (front side)	the front (front side)	2194	0712
