Number	Concept	Correction	OriginalConcept
1	the bear	the bear	bear
2	the bear	to bear	bear (fruit) v.
3	the bear	the bear	bear n
4	the bear	to bear	wear / bear v.
5	the wind	the wind	air / wind
6	the wind	the hot weather	hot weather (cf. WIND / AIR)
7	the wind	the wind	wind
8	the wind	to wind	wind (thread onto a keel)
9	the wind	the wind	wind / air
10	the wind	the wind	wind n
11	the dust	the dust	dust 1
12	the dust	the dust	dust 2
13	the wood	the wood	wood
14	the wood	the wood	wood / log n
15	the wood	the wood	wood / timber (cp. Tree)
16	the tail	the tail	tail
17	the tail	the tail	tail (of animal)
18	the tail	the tail	tail n
19	to fall	to fall asleep	asleep, fall v.
20	to fall	to fall	drop / fall
21	to fall	to fall	fall
22	to fall	to fall	fall (rain) v.
23	to fall	the autumn	fall / autumn n
24	to fall	to fall	fall / tumble down v.
25	to fall	to collapse	fall down (a house) / collapse
26	to fall	to fall	fall down (a wall) / topple v.
27	to fall	to fall	fall down v.
28	short	short	low / short adj
29	short	short	short
30	short	short	short adj
31	to bite	to bite	bite (mosquito) v.
32	to bite	to bite	bite hold of
33	to bite	to bite	bite v.
34	the navel	the navel	navel
35	to lick	to lick	lick
36	right (side)	right (side)	right
37	right (side)	right (side)	right (hand)
38	right (side)	right (side)	right (hand) (cp. Hand)
39	right (side)	right (side)	right (side)
40	right (side)	the right hand	right hand
41	right (side)	right (side)	the right / obverse side
42	good	good	bad (= 'not good')
43	good	good	good
44	round	round (classifier)	classifier for round things
45	round	to go around	go round v.
46	round	round	round
47	round	round (classifier)	round (cp. Numeral classifier)
48	round	round	spherical / round
49	the ash	the ash	plant ash n
50	the ash	@the ash	seed of Chinese prickly ash n
51	to run	to run	escape / run away v.
52	to run	to run	run
53	to run	to run	run v.
54	to kick	to kick	kick
55	to kick	to kick	kick v.
56	to squeeze	to squeeze	squeeze (for milk) v
57	to squeeze	to squeeze	squeeze (for milk) v.
58	to piss	to piss	piss / pee v.
59	seven	seven	seven
60	seven	seven	seven num
61	the wing	the wing	wing
62	the wing	the wing	wing (of bird)
63	the wing	the wing	wing n
64	blunt	blunt	blunt / dull
65	full	full	full
66	full	to be satiated	full (from eating)
67	full	to be satiated	full / be satiated
68	full	to be satiated	full / satiated
69	full	full	full adj
70	to throw	to pour out	pour or throw out (water) v.
71	to throw	to throw	throw
72	to throw	to throw	throw (e.g. stone)
73	to throw	to throw	throw / hurl v.
74	to throw	to throw	throw / toss v.
75	to cut	to cut	chop / cut (meat) v.
76	to cut	to cut	cut
77	to cut	to cut	cut (firewood)
78	to cut	to cut	cut / gouge out v.
79	to cut	to cut	cut / rip open v.
80	to cut	to cut	cut off
81	to cut	to cut	cut off / sever v.
82	to cut	to cut	cut open (fish)
83	to cut	to cut	cut v. 1
84	to cut	to cut	cut v. 2
85	to cut	to cut	cut v. 3
86	to cut	to cut	cut v. 4
87	to cut	to cut	cut v. 5
88	to cut	to cut	cut v. 6
89	to cut	to cut	mow / cut (grass) v.
90	the blood	the blood	blood
91	four	four	four
92	four	four things	four things
93	the leg	the leg	leg
94	the leg	the leg	leg (cp. Foot)
95	to scratch	to scratch	scratch
96	to scratch	to scratch	scratch (an itch against sthg.)
97	to scratch	to scratch	scratch (an itch) v.
98	to scratch	to scratch	scratch (cp. Scrape w.stick)
99	to eat	to eat	eat
100	the woman	the woman	woman
101	the woman	the woman	woman / female
102	the woman	the woman	woman n
103	the woman	the woman	young woman
104	the person	the man	man / male person
105	the person	the old person	old person
106	the person	the one-eyed person	one-eyed person
107	the person	the person	person
108	the person	the person	person / human being
109	the heart	the heart	heart
110	the heart	the heart	heart n
111	to hunt	to hunt	hunt
112	the ice	to freeze	freeze / ice up v.
113	the ice	the ice	ice
114	the ice	the ice	ice n
115	the liver	the liver spot	age spot / liver spot
116	the liver	the liver	liver
117	the liver	the liver	liver nbp
118	ripe	ripe	ripe
119	to sell	to sell	sell
120	to sell	to sell	sell v.
121	the shadow	the shadow	shadow
122	the shadow	the shadow	shadow n
123	one	to carry	carry (money) on one v.
124	one	one pair (classifier)	classifier for one of a pair clf
125	one	one	one
126	one	one head of cattle	one (head of) cattle
127	one	one	one num
128	one	one	one thing
129	to say	to say	say
130	to say	to say	say / speak
131	the river	river (classifier)	classifier for river clf
132	the river	the river	river
133	the river	the river	river n
134	the cloud	the cloud	cloud n
135	the seed	the seed	seed
136	the seed	the seed	seed n
137	the seed	@the seed	seed of Chinese prickly ash n
138	the seed	the seed	seed of grain
139	the egg	the chicken egg	chicken egg
140	the egg	the duck egg	duck egg
