ID	DOCULECT	CONCEPT	DOCULECT_IS	CONCEPT_NUMBER_IS	VALUE_IS	VALUE	NOTES	NOTES_MM	COGID	SEGMENTS
892	Akha	I	Akha	193	ŋá	ŋá		(2 sg.) should be (1 sg.) in meaning column	192	ŋ á
893	Atsi	I	Atsi	193	ŋô	ŋô		(2 sg.) should be (1 sg.) in meaning column	192	ŋ ô
894	Lisu	I	Lisu	193	ŋwā	ŋwā		(2 sg.) should be (1 sg.) in meaning column	192	ŋ w ā
895	Maru	I	Maru	193	ŋò	ŋò		(2 sg.) should be (1 sg.) in meaning column	192	ŋ ò
896	Proto-Burmish	I	PB	193	ŋa¹ᵃ	ŋa¹ᵃ		(2 sg.) should be (1 sg.) in meaning column	192	ŋ a ¹ᵃ
897	Proto-Lolo	I	PL	193	a¹	a¹		(2 sg.) should be (1 sg.) in meaning column	192	a ¹
898	Proto-Lolo-Burmese	I	PLB	193	ŋa¹ᵃ	ŋa¹ᵃ		(2 sg.) should be (1 sg.) in meaning column	192	ŋ a ¹ᵃ
899	Rangoon	I	Spoken Burmese	193	ŋá	ŋá		(2 sg.) should be (1 sg.) in meaning column	192	ŋ á
1478	Atsi	Shans	Atsi	323	lăsām	lăsām	BSB: IT		321	l ă + s ā m
1479	Maru	Shans	Maru	323	sínwò	sínwò	BSB: IT		321	s í + n w ò
1480	Proto-Burmish	Shans	PB	323	sam³	sam³	BSB: IT		321	s a m ³
1481	Rangoon	Shans	Spoken Burmese	323	šân	šân	BSB: IT		321	š â n
1	Akha	above	Akha	1	tāʔ	tāʔ	PL: Ak, Lahu: T		1	t ā ʔ
2	Atsi	above	Atsi	1	ăthoʔ	ăthoʔ	PL: Ak, Lahu: T		1	ă + t h o ʔ
3	Proto-Burmish	above	PB	1	thaʔ	thaʔ	PL: Ak, Lahu: T		1	t h a ʔ
4	Proto-Lolo	above	PL	1	thaʔ²	thaʔ²	PL: Ak, Lahu: T		1	t h a ʔ ²
5	Proto-Lolo-Burmese	above	PLB	1	thaʔ²	thaʔ²	PL: Ak, Lahu: T		1	t h a ʔ ²
6	Rangoon	above	Spoken Burmese	1	theʔ	theʔ	PL: Ak, Lahu: T		1	t h e ʔ
7	Akha	alive	Akha	2	dɛ̀ʔ	dɛ̀ʔ	Akha: 'life'		2	d ɛ̀ ʔ
