Grapheme	Segments	Structure	Unicode	Frequency	Reflexes
yò	j ò	i n	U+0079 U+00f2	7	Maru,Atsi
éi	éi	c	U+00e9 U+0069	7	Rangoon
àʔ	à ʔ	n c	U+00e0 U+0294	7	Akha
ik	i k	n c	U+0069 U+006b	7	Atsi,Proto-Burmish
ùi	ùi/ui L	n t	U+00f9 U+0069	7	Atsi
àm	à/a m L	n c t	U+00e0 U+006d	7	Atsi,Maru
án	án/ã H	n t	U+00e1 U+006e	7	Rangoon
āu	āu/au M	n t	U+0101 U+0075	6	Atsi,Maru
yà	j à/a L	n t	U+0079 U+00e0	6	Akha,Maru,Rangoon,Lisu
ap	a p	n c	U+0061 U+0070	6	Proto-Lolo,Proto-Burmish,Atsi
yaʔ	j a ʔ	i n c	U+0079 U+0061 U+0294	6	Proto-Burmish
iʔ	i ʔ	n c	U+0069 U+0294	6	Rangoon
în	în	c	U+00ee U+006e	6	Rangoon
ɛ̀ʔ	ɛ̀ʔ	c	U+025b U+0300 U+0294	5	Akha
āŋ	ā/a ŋ M	n c t	U+0101 U+014b	5	Maru,Atsi
òŋ	ò/o ŋ L	n c t	U+00f2 U+014b	5	Maru
òk	ò/o k L	n c t	U+00f2 U+006b	5	Maru
ûŋ	û/u ŋ F	n c t	U+00fb U+014b	5	Atsi
yoʔ	j o ʔ	i n c	U+0079 U+006f U+0294	5	Maru,Atsi
óu	óu/ou	n c	U+00f3 U+0075	5	Rangoon
yok	j o k	i n c	U+0079 U+006f U+006b	5	Maru,Proto-Burmish
ám	á/a m H	n c t	U+00e1 U+006d	5	Atsi
yó	j ó/o H	i n t	U+0079 U+00f3	5	Maru,Atsi
ām	ā/a m M	n c t	U+0101 U+006d	4	Atsi,Maru
âu	âu/au F	n t	U+00e2 U+0075	4	Atsi
yō	j ō/o M	i n t	U+0079 U+014d	4	Maru
yâ	j â/a F	i n t	U+0079 U+00e2	4	Lisu,Rangoon
yî	j î/i F	i n t	U+0079 U+00ee	4	Lisu,Atsi
áun	áu/au n H	n c t	U+00e1 U+0075 U+006e	4	Atsi,Rangoon
áun	áun/ãũ H	n t	U+00e1 U+0075 U+006e	4	Atsi,Rangoon
ûm	û/u m F	n c t	U+00fb U+006d	4	Atsi
úm	ú/u m H	n c t	U+00fa U+006d	4	Atsi
âm	â/a m F	n c t	U+00e2 U+006d	4	Atsi
ài	ài/ai	n	U+00e0 U+0069	4	Maru,Atsi
âŋ	â/a ŋ F	n c t	U+00e2 U+014b	4	Atsi
éʔ	é/e ʔ H	n c t	U+00e9 U+0294	4	Maru
yā	j ā/a M	i n t	U+0079 U+0101	4	Lisu,Akha,Maru
īn	ī/i n M n	c t	U+012b U+006e	4	Maru
æʔ	æ ʔ	n c	U+00e6 U+0294	4	Lisu
óʔ	ó/o ʔ H	n c t	U+00f3 U+0294	4	Maru
ûn	û/u n F	n c t	U+00fb U+006e	4	Atsi,Rangoon
ùʔ	ù/u ʔ L	c	U+00f9 U+0294	4	Maru,Akha
àn	à/a n L	c	U+00e0 U+006e	3	Maru,Atsi
yiʔ	j i ʔ	i n c	U+0079 U+0069 U+0294	3	Rangoon
ōi	ōi/oi M	n t	U+014d U+0069	3	Maru
ɔ̄ʔ	ɔ̄/ɔ ʔ M	n c t	U+0254 U+0304 U+0294	3	Akha
òi	òi/oi L	n t	U+00f2 U+0069	3	Maru
èi	èi/ei L	n t	U+00e8 U+0069	3	Rangoon
yuʔ	j u ʔ	i n c	U+0079 U+0075 U+0294	3	Atsi
îŋ	î/i ŋ F	n c t	U+00ee U+014b	3	Atsi
yít	j í/i t H	i n c t	U+0079 U+00ed U+0074	3	Maru
it	i t	n c	U+0069 U+0074	3	Proto-Burmish,Atsi,Maru
ít	í/i t H	n c t	U+00ed U+0074	3	Maru
ɔ́n	ɔ́n	c	U+0254 U+0301 U+006e	3	Akha
ɔ̀n	ɔ̀n	c	U+0254 U+0300 U+006e	3	Akha
ák	á/a k H	n c t	U+00e1 U+006b	3	Maru
àp	à/a p L	n c t	U+00e0 U+0070	2	Maru
γV	γ V	i n	U+03b3 U+0056	2	Proto-Burmish
úŋ	ú ŋ H	n c t	U+00fa U+014b	2	Atsi
yik	j i k	i n c	U+0079 U+0069 U+006b	2	Proto-Burmish,Atsi
àk	à/a k L	n c t	U+00e0 U+006b	2	Maru
yǎ	yǎ	c	U+0079 U+01ce	2	Lisu
yeʔ	j e ʔ	i n c	U+0079 U+0065 U+0294	2	Atsi,Rangoon
ìt	ì/i t L	n c t	U+00ec U+0074	2	Maru
ók	ó/o k H	n c t	U+00f3 U+006b	2	Maru
yán	j á/a n H	i n c t	U+0079 U+00e1 U+006e	2	Rangoon
yɔ̄n	j ɔ̄/ɔ n M	i n c t	U+0079 U+0254 U+0304 U+006e	2	Akha
yù	j ù/u L	i n t	U+0079 U+00f9	2	Maru
ìŋ	ì/i ŋ L	n c t	U+00ec U+014b	2	Atsi
yɔ̀ʔ	j ɔ̀/ɔ ʔ L	i n c	U+0079 U+0254 U+0300 U+0294	2	Akha
yauʔ	j au ʔ	i n c	U+0079 U+0061 U+0075 U+0294	2	Rangoon
yap	j a p	i n c	U+0079 U+0061 U+0070	2	Proto-Burmish,Atsi
yɔ́n	j ɔ́/ɔ n H	i n c t	U+0079 U+0254 U+0301 U+006e	2	Akha
át	á/a t H	n c t	U+00e1 U+0074	2	Maru
ōŋ	ō/o ŋ M	n c t	U+014d U+014b	2	Maru
yit	j i t	i n c	U+0079 U+0069 U+0074	2	Proto-Burmish,Atsi
áp	á/a p H	n c t	U+00e1 U+0070	2	Maru
yup	j u p	i n c	U+0079 U+0075 U+0070	2	Proto-Burmish,Atsi
īŋ	ī/i ŋ M	n c t	U+012b U+014b	2	Atsi
yut	j u t	i n c	U+0079 U+0075 U+0074	2	Proto-Burmish,Atsi
ăy	ă + j	n + i	U+0103 U+0079	1	Rangoon
ikk	ikk	c	U+0069 U+006b U+006b	1	Atsi
am	a m	n c	U+0061 U+006d	1	Proto-Lolo
ôŋ	ô/o ŋ F	n c t	U+00f4 U+014b	1	Atsi
àt	à/a t L	n c t	U+00e0 U+0074	1	Maru
àyø̀	à/a L + j ø̀/ø L	n t + i n t	U+00e0 U+0079 U+00f8 U+0300	1	Akha
ùn	ùn	c	U+00f9 U+006e	1	Rangoon
yúʔ	j ú/u ʔ H	i n c t	U+0079 U+00fa U+0294	1	Maru
òu	òu/ou L	n t	U+00f2 U+0075	1	Rangoon
oɂ	o ɂ	n c	U+006f U+0242	1	Atsi
zḿ	zḿ	c	U+007a U+1e3f	1	Akha
ūŋ	ū/u ŋ M	n c t	U+016b U+014b	1	Maru
yák	j á/a k H	i n c t	U+0079 U+00e1 U+006b	1	Maru
óŋ	ó/o ŋ H	n c t	U+00f3 U+014b	1	Maru
íŋ	í/i ŋ H	n c t	U+00ed U+014b	1	Atsi
yī	j ī/i M	n c t	U+0079 U+012b	1	Atsi
ît	î/i t F	n c t	U+00ee U+0074	1	Atsi
uk	u k	n c	U+0075 U+006b	1	Maru
ī̸ʔ	ī̸ʔ	c	U+012b U+0338 U+0294	1	Akha
òl	òl	c	U+00f2 U+006c	1	Atsi
ăl	ăl	c	U+0103 U+006c	1	Maru
youʔ	j ou ʔ	i n c	U+0079 U+006f U+0075 U+0294	1	Rangoon
yáŋ	j á/a ŋ H	c	U+0079 U+00e1 U+014b	1	Maru
yám	j á/a m H	i n c t	U+0079 U+00e1 U+006d	1	Atsi
āk	ā/a k M	n c t	U+0101 U+006b	1	Maru
ìʔ	ì ʔ L	n c t	U+00ec U+0294	1	Akha
yǿ	j ǿ/ø H	i n t	U+0079 U+01ff	1	Akha
yøʔ	j ø ʔ	i n c	U+0079 U+00f8 U+0294	1	Lisu
àáu	à + áu/au H	n + n t	U+00e0 U+00e1 U+0075	1	Atsi
aiʔ	ai ʔ	n c	U+0061 U+0069 U+0294	1	Rangoon
òn	ò/o n L	n c t	U+00f2 U+006e	1	Atsi
ùŋ	ù/u ŋ L	n c t	U+00f9 U+014b	1	Atsi
ùt	ù/u t L	n c t	U+00f9 U+0074	1	Maru
γVS	γVS	c	U+03b3 U+0056 U+0053	1	Proto-Burmish
yô	j ô/o F	c	U+0079 U+00f4	1	Atsi
yín	j ín/ĩ H	i n t	U+0079 U+00ed U+006e	1	Rangoon
yáp	j á/a p H	i n c t	U+0079 U+00e1 U+0070	1	Maru
yaŋ	j a ŋ	i n c	U+0079 U+0061 U+014b	1	Atsi
u̸ʔ	u̸ʔ	c	U+0075 U+0338 U+0294	1	Lisu
ɔ́ʔ	ɔ́ʔ	c	U+0254 U+0301 U+0294	1	Lisu
yúk	j ú/u k H	i n c t	U+0079 U+00fa U+006b	1	Maru
yát	j á/a t H	i n c t	U+0079 U+00e1 U+0074	1	Maru
yû	j û/u F	i n t	U+0079 U+00fb	1	Atsi
âi	âi/ai F	n t	U+00e2 U+0069	1	Atsi
